Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
121,5023,600,6590,1,277,20,78,0,2,3,10,1,10964
122,5870,601,6597,5,321,13,22,0,5,1,19,1,2732
123,4197,602,7875,3,432,19,60,0,4,1,4,0,-1
124,5873,603,6584,15,129,16,44,0,0,3,2,0,-1
125,6672,604,6594,21,347,9,30,1,3,1,14,0,-1
126,6673,605,6581,21,127,1,62,0,4,3,10,0,-1
127,5018,606,7876,24,117,8,42,0,4,0,8,0,-1
128,5016,607,7881,7,339,11,73,0,3,3,2,1,138
129,6675,608,6591,12,374,17,25,1,1,1,15,0,-1
130,5866,609,6592,7,111,15,33,1,5,3,3,1,10083
131,5865,610,6595,0,331,0,13,0,6,0,19,0,-1
132,5016,611,7884,14,295,11,39,0,3,3,8,0,-1
133,4210,612,6593,2,309,10,18,1,4,1,2,0,-1
134,4209,613,7877,14,465,12,75,0,3,1,8,0,-1
135,4206,614,7886,5,406,19,50,0,5,1,15,0,-1
136,6676,615,7880,5,278,9,71,0,5,1,7,0,-1
137,5028,616,7878,1,569,14,38,0,1,1,12,1,11486
138,5864,617,6596,17,445,1,12,1,0,3,6,0,-1
139,5869,618,7885,12,465,13,57,0,5,1,2,0,-1
140,5868,619,7879,10,404,4,47,0,2,1,16,1,2637
141,5865,620,7892,5,270,5,73,0,5,3,14,0,-1
142,5028,621,7883,17,113,8,41,0,0,0,4,1,13743
143,5020,622,7889,17,278,12,45,0,4,1,2,0,-1
144,5017,623,7895,26,487,1,79,0,2,3,14,1,1659
145,5871,720,7882,15,172,11,17,1,2,3,10,0,-1
146,5861,721,7894,13,165,14,15,0,3,1,16,0,-1
147,5024,722,7898,16,514,4,44,0,5,1,6,1,13124
148,5024,723,7901,2,262,3,28,0,3,1,8,0,-1
149,5017,724,9163,0,558,11,41,0,4,3,5,1,13683
150,5019,725,7887,20,157,17,46,0,3,1,1,1,1181
151,5863,726,7891,3,241,6,35,0,0,1,3,1,13737
152,5019,727,7893,2,311,12,67,1,4,1,16,0,-1
153,5861,728,7896,5,248,11,23,0,3,3,16,0,-1
154,6680,729,7900,4,523,13,39,0,5,1,11,0,-1
155,7525,730,7899,2,238,5,48,0,0,3,5,0,-1
156,7524,731,7888,21,109,5,71,0,0,3,14,1,657
157,5022,732,7890,8,448,3,32,0,5,1,8,0,-1
158,5868,733,9166,1,588,10,18,0,2,1,13,0,-1
159,6681,734,9170,5,236,20,38,0,6,3,15,1,3681
160,5025,735,9175,13,509,1,27,0,0,3,17,1,11054
161,6674,736,9171,16,321,3,30,0,3,1,13,1,9414
162,5027,737,7897,24,420,4,17,0,4,1,12,0,-1
163,6680,738,9172,21,589,17,39,0,3,1,15,0,-1
164,5871,739,9165,21,492,0,66,0,2,0,5,0,-1
165,7521,740,9169,7,312,16,11,0,2,3,9,1,12001
166,7532,741,9162,1,234,19,54,1,2,1,19,1,4798
167,5868,742,9168,5,470,19,79,1,1,1,13,1,13632
168,5872,743,9164,5,518,9,12,0,2,1,3,1,1704
169,5868,840,9161,14,295,6,19,0,0,1,16,0,-1
170,7526,841,9167,11,342,18,21,0,3,2,8,1,8321
171,6678,842,9179,0,352,3,24,1,4,1,14,1,5307
172,5867,843,10471,10,305,18,58,1,6,2,4,0,-1
173,8336,844,9174,8,245,16,51,0,0,3,17,1,15087
174,6683,845,10470,9,438,6,40,0,4,1,7,0,-1
175,6672,846,9173,24,144,15,64,1,0,3,13,1,7514
176,6685,847,9181,14,292,2,66,0,4,1,14,1,14381
177,5866,848,10472,4,134,8,28,0,2,0,8,1,10515
178,6679,849,9176,17,331,12,54,0,4,1,11,0,-1
179,7530,850,10477,0,191,9,42,0,3,1,8,0,-1
180,7522,851,10473,21,584,5,72,1,0,3,14,1,11483
181,7535,852,10478,2,341,18,23,0,6,2,1,0,-1
182,7531,853,10483,17,541,4,53,0,6,1,9,0,-1
183,7527,854,9177,1,133,16,28,0,2,3,12,1,4354
184,7523,855,9182,8,422,16,27,0,4,3,4,0,-1
185,5870,856,9178,17,151,9,67,0,5,1,19,1,1136
186,8343,857,10480,2,287,9,70,0,5,1,8,1,5820
187,6677,858,10482,5,541,19,75,0,0,1,4,1,6275
188,6681,859,10490,18,236,11,66,0,4,3,14,1,7367
189,6675,860,10474,8,415,7,24,0,3,1,2,1,11572
190,8338,861,9180,4,151,4,44,1,1,1,15,1,5780
191,6679,862,10486,4,268,13,63,0,3,1,9,0,-1
192,6673,863,10493,5,381,11,18,1,0,3,11,1,9891
193,7537,960,10476,7,249,14,19,0,4,1,3,0,-1
194,6677,961,10475,10,389,5,49,1,4,3,12,1,2687
195,8344,962,10479,5,235,12,33,0,6,1,12,0,-1
196,7523,963,11799,14,562,5,56,1,5,3,4,1,6780
197,7528,964,10487,1,287,14,32,1,1,1,1,1,12050
198,8345,965,10481,8,316,7,25,0,1,1,10,1,10965
199,7527,966,10494,5,367,0,62,0,2,0,3,0,-1
200,8342,967,11801,19,471,10,56,0,0,1,4,0,-1
201,8348,968,11804,23,365,3,27,0,0,1,8,1,2157
202,9196,969,10489,18,484,9,63,1,1,1,13,0,-1
203,7523,970,10484,17,257,6,34,0,0,1,2,1,7361
204,8344,971,10485,14,427,13,16,0,2,1,5,1,6829
205,8337,972,11802,8,340,17,59,0,5,1,13,1,1130
206,6684,973,10495,25,246,20,44,0,4,3,7,1,14751
207,8339,974,11811,2,376,3,21,0,0,1,3,1,4754
208,6682,975,10492,20,542,1,59,1,4,3,2,0,-1
209,7529,976,10488,8,257,7,41,0,1,1,17,0,-1
210,9195,977,11807,13,573,14,43,0,3,1,18,1,6742
211,8340,978,10491,3,148,3,15,1,1,1,6,0,-1
212,7521,979,11812,5,439,8,34,1,0,0,17,0,-1
213,8348,980,11808,13,598,11,19,0,2,3,6,1,10430
214,8338,981,11803,2,239,20,73,1,1,3,13,1,6313
215,8344,982,11800,5,267,16,44,1,1,3,1,1,374
216,7534,983,11810,1,163,17,14,0,3,1,18,0,-1
217,9204,1080,11806,13,572,3,73,1,4,1,2,1,11520
218,8343,1081,11822,24,561,9,49,0,5,1,18,0,-1
219,9205,1082,11809,21,336,18,61,1,5,2,10,0,-1
220,9197,1083,11814,18,563,2,68,0,3,1,18,0,-1
221,7538,1084,13109,13,218,20,24,0,4,3,1,1,7319
222,8339,1085,11805,15,276,13,69,0,6,1,7,1,10963
223,8347,1086,11816,2,570,9,55,0,6,1,11,0,-1
224,9206,1087,11820,4,307,15,49,0,3,3,19,1,192
225,7536,1088,13105,2,153,4,40,0,2,1,5,1,145
226,7533,1089,11813,24,340,10,51,0,1,1,8,0,-1
227,9202,1090,11821,17,365,19,35,0,6,1,15,1,7898
228,7534,1091,13107,21,269,3,65,0,0,1,6,0,-1
229,10077,1092,13111,10,247,20,61,0,5,3,18,1,12647
230,8335,1093,13115,1,190,19,35,1,6,1,8,0,-1
231,9208,1094,11819,21,429,11,45,1,0,3,1,0,-1
232,9201,1095,13113,20,547,0,32,0,4,0,12,1,7317
233,9203,1096,11815,17,136,10,11,0,5,1,9,0,-1
234,8345,1097,13110,13,254,1,40,1,6,3,14,0,-1
235,9206,1098,11817,17,514,18,23,0,2,2,19,1,6743
236,10075,1099,11818,15,105,0,14,1,6,0,12,1,3227
237,9199,1100,13114,28,561,4,23,1,5,1,7,0,-1
238,9194,1101,13112,4,583,4,35,1,3,1,4,0,-1
239,9203,1102,13118,5,418,8,65,1,3,0,15,0,-1
240,8341,1103,13119,8,466,8,51,0,3,0,13,0,-1
241,9200,1200,13106,17,402,3,35,0,5,1,17,0,-1
242,8339,1201,13108,2,188,19,59,0,0,1,1,1,5781
243,9193,1202,13120,21,512,9,48,0,3,1,4,1,2725
244,10085,1203,13117,11,388,16,18,0,6,3,19,1,10772
245,10074,1204,13121,18,423,15,58,0,2,3,17,1,13861
246,8347,1205,13124,13,399,12,65,0,3,1,7,0,-1
247,10080,1206,13116,18,432,7,38,0,0,1,6,1,12148
248,10898,1207,13126,1,262,11,77,0,1,3,13,1,14193
249,10086,1208,14432,25,293,5,70,0,1,3,8,1,13205
250,10085,1209,13128,18,164,7,11,0,5,1,17,1,11485
251,10901,1210,14429,5,342,8,45,0,5,0,13,0,-1
252,10077,1211,13123,25,182,17,71,0,2,1,3,1,15728
253,9195,1212,14428,8,362,18,11,1,5,2,10,1,2633
254,9204,1213,13122,19,123,12,39,1,4,1,3,1,9894
255,10904,1214,13127,16,233,8,68,1,1,0,18,0,-1
256,10083,1215,14431,13,581,14,76,1,1,1,9,1,9893
257,9199,1216,14426,8,230,7,47,1,0,1,4,1,4755
258,8346,1217,13125,1,402,11,22,0,5,3,18,0,-1
259,9207,1218,13129,17,151,7,33,1,6,1,8,1,661
260,10078,1219,14436,9,366,13,55,0,2,1,11,0,-1
261,9205,1220,14427,4,542,2,11,0,4,1,7,1,14332
262,9207,1221,14434,7,145,3,49,1,0,1,13,1,2639
263,9205,1222,14439,13,142,11,56,0,6,3,12,0,-1
264,10085,1223,14444,12,261,16,69,0,3,3,11,1,9343
265,9203,1320,14443,28,152,3,79,0,0,1,14,1,10469
266,9198,1321,14430,4,430,11,17,0,1,3,19,0,-1
267,10082,1322,14435,18,203,12,71,0,1,1,6,0,-1
268,10904,1323,14445,12,508,13,16,0,3,1,8,1,12050
269,9200,1324,14438,24,590,15,71,1,5,3,10,0,-1
270,11740,1325,14433,23,491,17,50,1,1,1,11,1,14192
271,10079,1326,14437,9,586,6,38,1,0,1,8,0,-1
272,10911,1327,14446,8,292,14,39,0,3,1,3,1,2638
273,10074,1328,14440,5,584,11,36,1,5,3,3,0,-1
274,10899,1329,14442,2,515,20,56,0,4,3,6,0,-1
275,10900,1330,15723,3,350,18,78,1,0,2,16,0,-1
276,10908,1331,15727,1,546,1,21,1,5,3,1,0,-1
277,9208,1332,15730,9,115,1,10,0,6,3,14,0,-1
278,11745,1333,14441,3,254,18,44,0,3,2,7,0,-1
279,10903,1334,15725,4,410,18,58,1,3,2,8,1,15202
280,10077,1335,15724,15,217,13,45,0,0,1,18,1,3228
281,11749,1336,15729,23,189,8,12,0,6,0,3,0,-1
282,10081,1337,15719,15,180,9,62,0,5,1,2,1,6828
283,10076,1338,15720,15,215,2,48,0,0,1,7,0,-1
284,10910,1339,15722,17,481,0,55,0,4,0,5,1,14239
285,10905,1340,15736,9,577,1,70,0,0,3,6,0,-1
286,11744,1341,15726,17,212,17,38,1,5,1,11,1,12692
287,10074,1342,15737,21,244,20,12,0,1,3,3,1,45
288,10907,1343,15721,2,363,11,30,0,2,3,9,1,14764
289,10902,1440,15735,4,550,12,25,0,0,1,3,1,12605
290,11749,1441,15729,1,484,7,22,0,5,1,9,0,-1
291,10086,1442,15728,4,515,17,69,0,1,1,15,0,-1
292,11757,1443,15740,4,307,2,31,0,6,1,16,0,-1
293,10912,1444,15733,25,289,2,59,1,6,1,9,0,-1
294,10909,1445,15731,4,562,1,51,0,0,3,4,1,3145
295,11751,1446,15732,2,568,5,48,1,6,3,6,1,3184
296,10083,1447,15734,13,262,19,62,1,5,1,4,1,12606
297,10084,1448,15738,5,546,18,50,1,1,2,5,0,-1
298,11746,1449,17063,13,199,11,32,1,1,3,19,1,13123
299,11747,1450,17064,23,513,16,40,0,5,3,1,0,-1
300,11747,1451,17065,18,256,15,55,0,0,3,7,1,2233
301,12576,1452,17068,10,390,11,64,1,4,3,6,0,-1
302,12572,1453,17061,4,206,0,59,0,4,0,12,1,4293
303,10082,1454,15741,12,491,5,12,0,0,3,4,0,-1
304,11740,1455,15740,11,139,14,30,0,4,1,11,1,8320
305,10085,1456,15739,21,126,18,13,0,3,2,13,1,10429
306,10900,1457,17067,6,431,8,27,1,6,0,19,0,-1
307,10897,1458,15742,12,528,18,50,0,2,2,3,1,7272
308,11743,1459,17066,9,282,3,66,0,5,1,5,0,-1
309,10905,1460,17077,2,577,16,26,1,2,3,12,1,4998
310,11753,1461,17075,1,494,5,35,0,6,3,9,1,15204
311,12580,1462,17074,5,395,6,29,0,4,1,6,1,1747
312,11756,1463,17069,13,276,0,32,0,2,0,11,0,-1
313,11740,1560,17073,2,560,6,37,0,2,1,13,0,-1
314,11741,1561,17062,2,217,1,18,0,2,3,6,0,-1
315,12573,1562,17076,12,389,2,60,1,6,1,1,1,12195
316,10911,1563,17081,5,361,2,42,1,5,1,11,1,279
317,10906,1564,17070,17,269,5,42,0,3,3,1,1,11484
318,11747,1565,17080,19,106,3,67,1,4,1,5,0,-1
319,11748,1566,17071,14,330,19,79,0,5,1,13,0,-1
320,12572,1567,18344,2,190,0,41,1,3,0,2,0,-1
321,12575,1568,17078,21,446,9,45,1,6,1,7,0,-1
322,11752,1569,17072,13,503,18,62,1,4,2,18,1,14159
323,11750,1570,17083,2,471,0,64,0,1,0,18,0,-1
324,11757,1571,17079,17,526,9,67,1,3,1,6,0,-1
325,13415,1572,17082,2,589,17,67,0,1,1,6,1,15686
326,13415,1573,18345,28,344,19,45,0,1,1,9,0,-1
327,12572,1574,18351,20,470,15,53,0,6,3,15,0,-1
328,10909,1575,18352,2,506,2,68,1,2,1,6,0,-1
329,11747,1576,18343,17,187,0,70,1,3,0,7,0,-1
330,13419,1577,18357,24,570,6,42,0,5,1,5,1,11519
331,12571,1578,18354,5,358,0,15,0,6,0,18,1,12690
332,11752,1579,17084,5,586,12,57,1,3,1,17,1,4756
333,11747,1580,18347,17,534,3,70,1,1,1,14,1,5816
334,12582,1581,18353,8,225,19,42,1,4,1,8,0,-1
335,12572,1582,18361,2,331,17,77,0,6,1,1,0,-1
336,11742,1583,18360,1,359,17,40,0,4,1,5,1,5778
337,11754,1680,18355,5,574,3,53,0,5,1,7,0,-1
338,13425,1681,18346,6,477,16,21,1,5,3,12,1,15895
339,12574,1682,18349,12,419,5,64,0,4,3,6,1,7895
340,11755,1683,18358,1,167,14,36,0,3,1,13,1,3146
341,13416,1684,18356,21,101,15,14,0,3,3,12,1,6491
342,11747,1685,19658,5,356,13,30,0,0,1,10,0,-1
343,12584,1686,18363,21,390,4,46,1,2,1,16,1,15254
344,12574,1687,18348,7,559,1,48,0,4,3,3,1,5873
345,11750,1688,18350,16,344,16,60,0,2,3,19,0,-1
346,13421,1689,19657,5,385,2,11,1,2,1,13,0,-1
347,13417,1690,19664,17,236,5,76,0,5,3,14,0,-1
348,13414,1691,19660,5,277,12,55,1,3,1,13,1,6274
349,13418,1692,19667,14,343,18,17,0,4,2,19,0,-1
350,12578,1693,18359,2,387,14,50,0,6,1,7,1,4208
351,14246,1694,19661,21,168,20,73,0,2,3,2,0,-1
352,11754,1695,19655,17,270,4,44,0,0,1,11,1,12652
353,12577,1696,19665,5,205,12,64,0,1,1,12,1,3182
354,12579,1697,19659,27,272,7,78,0,1,1,12,1,9983
355,12581,1698,19653,19,226,10,54,0,5,1,8,0,-1
356,14247,1699,18362,21,562,2,25,0,6,1,19,0,-1
357,14249,1700,19673,5,328,4,44,1,3,1,11,0,-1
358,13425,1701,19668,14,224,6,12,0,2,1,2,0,-1
359,12582,1702,19676,14,503,1,31,0,5,3,3,1,1703
360,13412,1703,19656,13,418,2,14,0,1,1,2,1,5871
361,13420,1800,19654,16,568,12,14,1,3,1,9,0,-1
362,13420,1801,19674,15,502,4,26,0,6,1,17,1,1660
363,13421,1802,19672,10,227,12,51,0,2,1,6,0,-1
364,13413,1803,19670,18,583,13,11,0,4,1,16,0,-1
365,15085,1804,19662,10,417,11,43,0,4,3,15,0,-1
366,12583,1805,19666,18,512,9,69,1,4,1,14,0,-1
367,12581,1806,19663,19,511,12,59,1,3,1,13,0,-1
368,12576,1807,19679,4,392,13,31,1,4,1,15,0,-1
369,15087,1808,19669,9,151,12,46,0,1,1,7,0,-1
370,15086,1809,20978,2,213,3,28,1,6,1,19,1,14761
371,15085,1810,20986,7,339,7,62,0,3,1,19,0,-1
372,13420,1811,20982,5,286,8,36,0,3,0,15,0,-1
373,13415,1812,19680,5,282,16,24,0,0,3,8,0,-1
374,15089,1813,19671,16,552,5,36,0,5,3,8,1,12648
375,14250,1814,19677,5,510,6,28,0,5,1,11,0,-1
376,15092,1815,20980,14,558,2,29,0,0,1,19,1,15732
377,12584,1816,19675,9,432,2,44,1,0,1,18,1,7424
378,13422,1817,20988,17,103,2,27,0,4,1,12,1,5432
379,15095,1818,20977,5,456,6,19,0,3,1,8,0,-1
380,13411,1819,20991,7,148,6,36,0,0,1,2,1,5342
381,15086,1820,19678,24,349,11,69,0,0,3,6,1,5779
382,13417,1821,20987,17,587,11,63,0,6,3,3,1,141
383,13425,1822,20985,12,102,16,38,0,5,3,18,0,-1
384,15094,1823,20979,25,136,12,73,0,1,1,9,0,-1
385,15101,1920,20992,21,203,3,57,1,6,1,9,0,-1
386,15099,1921,20981,17,159,11,45,0,2,3,11,0,-1
387,15092,1922,20997,9,210,3,13,0,6,1,17,0,-1
388,15095,1923,22291,22,454,18,59,0,6,2,12,1,12051
389,13423,1924,20983,21,118,11,79,0,5,3,19,1,4297
390,15094,1925,20989,18,243,3,19,1,1,1,12,0,-1
391,15954,1926,20984,5,343,3,51,0,2,1,19,0,-1
392,15093,1927,20993,5,409,12,54,0,3,1,17,1,4797
393,15097,1928,20990,14,489,20,54,1,6,3,10,0,-1
394,15087,1929,22296,17,524,4,56,1,5,1,9,0,-1
395,13424,1930,20995,1,324,17,65,0,5,1,4,0,-1
396,14253,1931,22292,5,161,5,35,0,1,3,8,0,-1
397,15956,1932,22297,4,248,2,69,1,1,1,7,0,-1
398,15094,1933,22290,10,367,15,78,0,2,3,1,1,13685
399,13423,1934,22295,12,378,3,19,0,1,1,1,0,-1
400,15100,1935,22299,17,120,18,67,0,3,2,19,0,-1
401,14252,1936,20994,16,567,6,66,0,3,1,3,0,-1
402,14248,1937,22294,0,169,2,36,0,4,1,12,1,14808
403,15957,1938,20996,13,505,3,52,1,5,1,15,0,-1
404,13423,1939,22304,26,280,11,77,0,1,3,6,0,-1
405,15091,1940,22289,21,456,11,38,0,4,3,9,1,15731
406,15084,1941,22293,23,522,2,14,0,6,1,7,1,12691
407,15964,1942,22302,8,305,7,69,1,5,1,1,0,-1
408,14253,1943,22305,26,491,5,52,0,6,3,19,1,6884
409,14252,2040,22301,12,219,14,72,1,1,1,18,0,-1
410,15958,2041,22300,4,505,17,49,0,1,1,11,1,6360
411,16768,2042,22312,13,500,8,29,1,6,0,7,1,3720
412,15962,2043,22310,17,129,13,46,1,3,1,17,1,14237
413,15954,2044,22313,2,213,20,60,0,5,3,12,1,9413
414,15098,2045,23587,5,267,9,30,0,4,1,14,0,-1
415,15958,2046,22298,20,371,20,52,0,3,3,2,1,15730
416,16769,2047,22309,1,481,3,23,0,3,1,10,0,-1
417,14251,2048,22303,25,532,17,47,0,1,1,9,1,7418
418,16769,2049,23591,5,342,15,36,1,3,3,2,1,8083
419,14253,2050,22308,15,237,5,40,1,3,3,16,1,10517
420,15099,2051,22314,10,205,15,12,0,4,3,17,1,7899
421,15085,2052,22307,7,142,16,66,0,4,3,15,0,-1
422,15963,2053,22306,4,367,2,33,0,5,1,1,0,-1
423,14254,2054,23588,8,163,13,28,1,4,1,9,1,2733
424,15088,2055,23589,17,342,18,40,0,3,2,19,0,-1
425,15955,2056,23590,14,539,12,45,1,4,1,9,1,7894
426,16775,2057,23596,13,176,4,73,0,0,1,16,0,-1
427,15960,2058,23596,8,566,7,29,0,1,1,15,1,3756
428,15083,2059,22311,2,250,8,33,0,6,0,3,1,11571
429,15959,2060,23595,8,557,12,16,1,5,1,2,0,-1
430,15097,2061,23601,5,471,2,46,0,0,1,5,1,8397
431,15967,2062,23593,10,232,11,14,0,5,3,9,1,1661
432,16776,2063,23594,17,456,12,76,0,2,1,8,0,-1
433,15086,2160,23609,11,467,2,61,1,1,1,14,0,-1
434,15096,2161,23603,10,598,16,45,1,6,3,4,0,-1
435,15090,2162,23592,10,368,9,13,0,6,1,18,1,5782
436,15096,2163,23598,5,523,2,53,0,3,1,7,1,753
437,15965,2164,23606,24,319,15,17,1,4,3,6,0,-1
438,16776,2165,24910,5,300,14,18,0,5,1,10,1,14706
439,15097,2166,23607,5,298,2,18,0,4,1,4,0,-1
440,16770,2167,24912,16,217,6,79,0,2,1,10,1,2232
